,carat,cut,color,clarity,depth,table,price,x,y,z,volume,ratio_xy
39234,0.38,Premium,D,VS1,61.9,60.0,1067,4.62,4.66,2.87,61.788804,0.9914163090128755
50474,0.55,Good,F,IF,60.8,60.0,2266,5.26,5.36,3.23,91.065328,0.9813432835820894
35269,0.3,Very Good,G,IF,62.8,57.0,895,4.28,4.32,2.7,49.921920000000014,0.9907407407407407
53659,0.76,Premium,F,SI1,62.0,60.0,2706,5.88,5.76,3.61,122.266368,1.0208333333333333
32832,0.33,Ideal,H,IF,61.8,55.2,806,4.44,4.47,2.76,54.777168,0.993288590604027
42123,0.58,Ideal,I,VS2,62.0,54.0,1279,5.35,5.39,3.33,96.025545,0.9925788497217068
10739,0.33,Ideal,H,SI1,63.0,56.0,594,4.42,4.41,2.78,54.188316,1.002267573696145
46037,0.57,Ideal,E,SI1,62.1,56.0,1728,5.33,5.3,3.3,93.22169999999998,1.0056603773584907
50580,0.72,Ideal,J,IF,62.0,55.0,2279,5.74,5.77,3.57,118.23768599999998,0.9948006932409014
32773,0.34,Ideal,D,SI1,62.8,55.0,803,4.5,4.45,2.81,56.270250000000004,1.0112359550561798
44524,0.52,Very Good,E,VS2,59.2,59.0,1601,5.23,5.27,3.11,85.718131,0.9924098671726757
1804,0.79,Very Good,E,SI1,63.2,56.0,3053,5.91,5.83,3.71,127.82916300000001,1.0137221269296741
44536,0.5,Ideal,E,VS1,62.2,57.0,1603,5.1,5.13,3.18,83.19833999999999,0.9941520467836257
1107,0.91,Premium,I,SI2,62.0,59.0,2913,6.18,6.23,3.85,148.23039000000003,0.9919743178170143
33348,0.41,Premium,G,VS2,61.8,59.0,827,4.72,4.76,2.93,65.828896,0.9915966386554622
38118,0.3,Ideal,H,IF,61.8,55.0,1013,4.31,4.3,2.66,49.297779999999996,1.0023255813953489
17123,1.15,Very Good,G,VS2,62.9,58.0,6831,6.62,6.7,4.19,185.84326000000001,0.9880597014925373
49711,0.53,Premium,D,VS1,59.2,60.0,2147,5.37,5.31,3.16,90.10645199999999,1.0112994350282487
16308,1.2,Very Good,G,SI1,62.8,60.0,6526,6.71,6.79,4.24,193.178216,0.9882179675994109
39688,0.4,Premium,F,VVS2,62.2,59.0,1088,4.65,4.7,2.91,63.598050000000015,0.9893617021276596
5185,0.9,Premium,G,SI1,62.7,59.0,3774,6.14,6.1,3.84,143.82335999999998,1.0065573770491802
27961,0.3,Premium,E,VS2,59.9,59.0,658,4.33,4.38,2.61,49.499694,0.9885844748858448
324,1.04,Premium,G,I1,62.2,58.0,2801,6.46,6.41,4.0,165.6344,1.0078003120124805
31902,0.3,Good,G,VS1,63.6,55.0,776,4.31,4.27,2.73,50.24210099999999,1.009367681498829
13161,1.01,Good,D,SI1,61.8,60.0,5443,6.35,6.37,3.93,158.96653500000002,0.9968602825745683
32873,0.38,Good,D,VS2,64.1,55.0,809,4.58,4.62,2.95,62.420820000000006,0.9913419913419913
20170,1.4,Premium,H,SI1,60.5,60.0,8624,7.22,7.16,4.35,224.87411999999998,1.0083798882681563
16635,1.02,Premium,F,VS2,62.4,59.0,6652,6.4,6.45,4.01,165.5328,0.9922480620155039
28080,0.4,Ideal,J,VVS2,62.5,53.0,662,4.74,4.79,2.98,67.65970800000001,0.989561586638831
38310,0.31,Premium,J,VS2,62.7,58.0,488,4.34,4.3,2.71,50.57402,1.0093023255813953
37215,0.34,Ideal,G,IF,61.3,55.0,974,4.53,4.57,2.79,57.75885900000001,0.9912472647702407
37001,0.5,Good,J,VS2,63.2,60.0,965,5.01,5.06,3.18,80.614908,0.9901185770750989
37932,0.26,Very Good,H,VVS2,62.5,56.0,486,4.07,4.09,2.55,42.448065,0.9951100244498778
16824,1.2,Good,H,VS2,63.3,59.0,6710,6.74,6.78,4.28,195.58401600000002,0.9941002949852508
33517,0.33,Premium,E,VS2,62.0,60.0,829,4.46,4.41,2.75,54.08865,1.0113378684807255
18708,0.27,Very Good,E,VVS2,62.5,59.0,620,4.09,4.14,2.57,43.51678199999999,0.9879227053140097
27951,0.3,Very Good,G,SI1,61.0,58.0,432,4.3,4.32,2.63,48.85488,0.9953703703703702
15985,1.02,Premium,G,VS2,62.1,58.0,6397,6.5,6.44,4.02,168.2772,1.0093167701863353
28258,0.33,Premium,F,VS2,62.2,58.0,666,4.43,4.44,2.76,54.286992,0.9977477477477475
44673,0.49,Ideal,E,VS2,61.3,55.0,1609,5.11,5.13,3.14,82.31290200000001,0.9961013645224173
11382,0.34,Ideal,H,VS1,62.5,57.0,596,4.43,4.46,2.78,54.926683999999995,0.9932735426008968
48837,0.55,Premium,E,VS2,62.3,60.0,2030,5.26,5.18,3.25,88.5521,1.0154440154440154
33005,0.38,Ideal,E,VS2,61.5,55.0,813,4.67,4.7,2.88,63.21312,0.9936170212765957
40249,0.5,Very Good,F,SI2,62.9,63.0,1125,4.99,4.93,3.12,76.754184,1.0121703853955377
2747,0.83,Very Good,H,VS2,61.7,59.0,3249,5.95,6.02,3.69,132.17210999999998,0.9883720930232559
22845,1.57,Premium,H,VS1,61.7,58.0,10880,7.47,7.56,4.64,262.035648,0.9880952380952381
951,0.5,Ideal,E,VVS2,62.2,54.0,2889,5.08,5.12,3.17,82.450432,0.9921875
48166,0.51,Good,F,VVS2,60.2,62.0,1942,5.16,5.21,3.12,83.87683200000001,0.9904030710172745
4065,0.31,Ideal,D,SI1,62.3,54.0,571,4.33,4.37,2.71,51.278891,0.9908466819221968
3513,0.85,Ideal,G,SI1,62.2,56.0,3403,6.06,6.09,3.78,139.502412,0.9950738916256158
33919,0.3,Premium,E,VS2,62.9,58.0,844,4.27,4.22,2.67,48.11179799999999,1.0118483412322274
36874,0.42,Ideal,E,VS2,62.2,55.0,958,4.79,4.83,2.99,69.17574300000001,0.9917184265010351
44931,0.57,Very Good,G,VS2,59.9,54.6,1633,5.43,5.46,3.26,96.65182799999998,0.9945054945054944
45202,0.51,Premium,E,VS2,61.9,59.0,1656,5.06,5.11,3.15,81.44829,0.9902152641878668
47204,0.5,Ideal,G,VVS2,60.5,55.0,1838,5.13,5.15,3.11,82.16464500000001,0.9961165048543689
53176,0.71,Very Good,E,VS2,61.6,56.0,2630,5.74,5.81,3.56,118.72386399999999,0.9879518072289157
38289,0.28,Very Good,E,VS1,60.9,59.0,487,4.19,4.22,2.56,45.265408,0.9928909952606637
47477,0.61,Very Good,G,VS2,62.0,57.0,1861,5.44,5.47,3.38,100.577984,0.9945155393053018
40047,0.38,Ideal,E,VS2,60.1,56.0,1112,4.72,4.69,2.83,62.647144000000004,1.0063965884861406
46659,0.51,Ideal,D,VS2,62.4,55.0,1787,5.11,5.14,3.2,84.04928000000001,0.9941634241245138
1069,0.31,Premium,I,VS2,59.9,60.0,558,4.44,4.41,2.65,51.88806,1.0068027210884354
21473,1.32,Ideal,H,VVS2,62.0,54.0,9571,7.05,7.06,4.37,217.50800999999998,0.9985835694050992
23409,2.0,Good,I,SI2,64.2,52.0,11400,7.91,7.88,5.07,316.01715600000006,1.0038071065989849
6529,0.9,Very Good,D,SI1,61.1,63.0,4068,6.17,6.21,3.78,144.83334599999998,0.9935587761674718
40685,0.5,Good,E,SI1,63.7,59.0,1155,5.07,5.01,3.21,81.536247,1.0119760479041917
27229,2.01,Premium,I,VS2,61.1,60.0,17592,8.12,8.06,4.94,323.309168,1.007444168734491
44822,0.5,Premium,G,VS1,62.5,60.0,1624,5.06,5.08,3.17,81.48421599999999,0.9960629921259841
12430,1.03,Ideal,G,SI1,61.7,56.0,5241,6.5,6.47,4.0,168.22,1.0046367851622875
45038,0.51,Very Good,E,VS2,63.3,55.0,1638,5.12,5.09,3.23,84.176384,1.0058939096267192
13660,1.24,Very Good,H,SI2,61.2,57.0,5592,6.87,7.02,4.25,204.96644999999998,0.9786324786324787
31811,0.43,Good,D,SI1,63.8,55.0,774,4.79,4.8,3.06,70.35552,0.9979166666666667
30623,0.3,Very Good,G,SI1,62.9,59.0,447,4.24,4.28,2.68,48.634496000000006,0.9906542056074766
14607,1.21,Premium,J,VVS1,61.3,59.0,5893,6.81,6.86,4.19,195.742554,0.9927113702623905
29146,0.31,Ideal,E,VS1,61.8,55.0,692,4.36,4.38,2.7,51.56136000000001,0.995433789954338
14344,1.22,Ideal,I,SI1,60.2,57.0,5807,6.99,6.93,4.19,202.96653300000003,1.0086580086580088
47030,0.57,Ideal,E,VS2,61.6,56.0,1819,5.38,5.34,3.3,94.80635999999998,1.0074906367041199
36708,0.46,Ideal,J,VVS1,61.8,56.0,953,4.93,4.97,3.06,74.976426,0.9919517102615694
10208,1.0,Very Good,G,SI1,59.3,63.0,4741,6.44,6.48,3.83,159.83049600000004,0.9938271604938271
25584,2.01,Very Good,H,SI2,62.9,55.0,14426,8.03,8.09,5.07,329.360889,0.9925834363411619
30399,0.32,Ideal,H,VVS1,61.9,56.0,730,4.38,4.41,2.72,52.538976000000005,0.9931972789115646
14821,1.0,Ideal,G,VS2,62.6,57.0,5967,6.47,6.4,4.03,166.87424000000001,1.0109374999999998
27112,2.02,Premium,H,SI1,62.1,61.0,17265,8.06,7.99,4.98,320.70901200000003,1.0087609511889863
19271,1.21,Ideal,G,VS2,61.1,57.0,7996,6.95,6.85,4.22,200.90365,1.0145985401459854
24157,1.58,Ideal,H,VS2,61.4,56.0,12334,7.5,7.56,4.62,261.954,0.9920634920634921
10497,1.0,Fair,E,SI1,65.8,59.0,4798,6.07,6.15,4.02,150.06860999999998,0.9869918699186991
20315,1.09,Ideal,F,VS1,61.7,57.0,8730,6.58,6.62,4.07,177.287572,0.9939577039274924
1636,0.96,Premium,E,SI2,62.8,60.0,3016,6.3,6.24,3.94,154.88927999999999,1.0096153846153846
47027,0.52,Premium,E,VS1,61.7,58.0,1819,5.17,5.11,3.17,83.747279,1.0117416829745596
21325,1.51,Premium,I,VS2,60.9,60.0,9471,7.46,7.33,4.5,246.06810000000002,1.0177353342428377
8412,1.04,Fair,F,SI1,66.9,62.0,4403,6.22,6.15,4.14,158.36741999999998,1.011382113821138
48086,0.71,Ideal,J,VS1,61.9,55.0,1932,5.69,5.75,3.54,115.81995,0.9895652173913044
17467,2.23,Very Good,G,I1,63.5,57.0,7006,8.24,8.2,5.22,352.70495999999997,1.0048780487804878
49410,0.7,Very Good,G,SI1,61.8,56.0,2106,5.7,5.76,3.54,116.22528,0.9895833333333334
16871,1.0,Very Good,E,VS2,61.9,57.0,6732,6.35,6.38,3.94,159.62122,0.9952978056426331
11539,0.97,Ideal,D,SI1,62.8,56.0,5028,6.24,6.3,3.94,154.88927999999999,0.9904761904761905
7574,0.9,Good,F,VS2,59.8,61.0,4253,6.18,6.22,3.71,142.610916,0.9935691318327974
40158,0.35,Ideal,G,IF,61.8,55.0,1116,4.56,4.54,2.81,58.17374399999999,1.0044052863436121
45033,0.54,Ideal,E,SI1,62.1,56.0,1637,5.24,5.19,3.24,88.11374400000001,1.0096339113680153
22147,2.01,Fair,H,SI2,64.9,56.0,10184,7.88,7.81,5.09,313.25285199999996,1.0089628681177978
41100,0.38,Ideal,F,IF,61.0,56.0,1193,4.68,4.7,2.86,62.908559999999994,0.9957446808510637
1319,0.72,Good,G,VS1,58.0,57.8,2958,5.85,5.87,3.4,116.7543,0.9965928449744462
40835,0.56,Good,E,SI2,63.5,57.0,1172,5.21,5.24,3.32,90.637328,0.9942748091603053
29431,0.42,Premium,D,SI2,62.1,59.0,700,4.78,4.82,2.98,68.65800800000001,0.991701244813278
803,0.73,Premium,E,VS2,62.5,61.0,2862,5.78,5.64,3.59,117.03112799999998,1.024822695035461
34774,0.41,Premium,D,SI2,62.3,58.0,876,4.77,4.74,2.96,66.925008,1.0063291139240504
11814,1.07,Premium,G,SI1,63.0,55.0,5091,6.55,6.47,4.1,173.75184999999996,1.0123647604327666
30012,0.42,Very Good,F,SI1,63.1,56.0,717,4.77,4.8,3.02,69.14591999999999,0.9937499999999999
8342,1.01,Good,G,SI2,59.3,62.0,4397,6.51,6.58,3.88,166.202904,0.9893617021276595
45918,0.53,Ideal,G,VS1,61.9,56.0,1721,5.19,5.21,3.22,87.06847800000001,0.9961612284069099
48140,0.55,Ideal,E,VS1,61.6,55.0,1940,5.33,5.28,3.27,92.025648,1.009469696969697
27911,0.26,Very Good,F,VVS1,60.6,56.0,657,4.12,4.16,2.51,43.019392,0.9903846153846154
18021,1.13,Ideal,G,VS2,61.6,57.0,7290,6.7,6.68,4.12,184.39472,1.0029940119760479
13137,1.06,Very Good,G,SI1,61.3,60.0,5435,6.53,6.55,4.01,171.513715,0.9969465648854963
773,0.7,Ideal,D,VS2,61.0,57.0,2859,5.76,5.74,3.51,116.04902399999997,1.0034843205574913
14357,1.13,Ideal,I,VS1,61.6,54.0,5813,6.72,6.74,4.15,187.96512,0.9970326409495548
41271,0.31,Good,D,SI1,63.3,59.0,502,4.24,4.29,2.7,49.11192000000001,0.9883449883449884
8682,0.92,Ideal,I,SI1,61.7,56.0,4457,6.2,6.23,3.83,147.93758000000003,0.9951845906902086
4388,0.31,Very Good,D,SI1,60.0,61.0,571,4.41,4.43,2.65,51.771195,0.9954853273137698
46439,0.58,Ideal,F,VS1,61.9,54.0,1772,5.33,5.37,3.31,94.739151,0.9925512104283054
20860,1.26,Ideal,G,VS1,61.6,56.0,9078,6.96,7.03,4.31,210.883128,0.9900426742532006
45706,0.56,Ideal,G,VS2,62.1,56.0,1698,5.31,5.29,3.29,92.41577099999999,1.0037807183364837
34321,0.35,Ideal,H,IF,61.7,54.0,859,4.53,4.55,2.8,57.712199999999996,0.9956043956043957
9947,1.01,Ideal,G,SI1,62.3,57.0,4694,6.41,6.36,3.98,162.25504800000002,1.0078616352201257
41106,0.51,Very Good,E,SI2,61.6,57.0,1195,5.17,5.19,3.19,85.595037,0.9961464354527938
5044,0.4,Ideal,G,SI2,62.4,56.0,573,4.71,4.75,2.95,65.998875,0.991578947368421
16631,1.09,Good,H,VVS2,58.8,61.0,6651,6.72,6.78,3.97,180.879552,0.991150442477876
50690,0.7,Good,F,SI1,64.1,56.0,2289,5.63,5.6,3.6,113.5008,1.0053571428571428
5964,0.9,Very Good,F,SI1,61.7,60.0,3950,6.16,6.22,3.82,146.36406399999998,0.9903536977491962
34097,0.36,Premium,D,VS2,61.8,58.0,852,4.55,4.58,2.82,58.76597999999999,0.9934497816593886
35236,0.39,Good,G,VVS2,63.4,57.0,894,4.62,4.65,2.94,63.16002,0.9935483870967742
17982,1.23,Premium,E,SI1,59.2,62.0,7274,7.05,7.0,4.16,205.29600000000002,1.0071428571428571
34497,0.32,Ideal,F,VVS1,61.7,55.0,867,4.38,4.43,2.72,52.777248,0.9887133182844244
13587,1.05,Premium,F,SI1,61.6,57.0,5557,6.56,6.53,4.03,172.632304,1.004594180704441
26137,1.61,Premium,F,VS2,62.3,59.0,15426,7.53,7.47,4.67,262.683297,1.0080321285140563
37584,0.32,Ideal,F,VVS1,61.8,55.0,990,4.41,4.36,2.71,52.106796,1.0114678899082568
25881,2.06,Premium,I,SI2,61.0,59.0,14982,8.24,8.21,5.02,339.605008,1.0036540803897684
37966,0.41,Ideal,F,VS1,60.8,57.0,1007,4.77,4.8,2.91,66.62736,0.9937499999999999
28645,0.33,Ideal,J,VS1,62.1,55.0,434,4.41,4.44,2.75,53.8461,0.9932432432432432
36766,0.3,Premium,E,VVS1,60.0,60.0,956,4.38,4.35,2.62,49.918859999999995,1.006896551724138
7407,0.33,Premium,I,VVS2,61.5,58.0,579,4.43,4.45,2.73,53.817855,0.995505617977528
42414,0.45,Very Good,D,VS2,62.9,58.4,1311,4.83,4.86,3.04,71.360352,0.9938271604938271
40701,0.4,Ideal,E,VVS2,62.1,55.0,1158,4.74,4.76,2.95,66.55908000000001,0.9957983193277312
32584,0.31,Ideal,F,VVS1,61.9,55.0,801,4.37,4.42,2.72,52.537888,0.9886877828054299
45645,0.25,Ideal,G,VVS2,62.1,56.0,525,4.02,4.05,2.5,40.7025,0.9925925925925926
16741,1.01,Premium,E,VS2,62.0,59.0,6666,6.44,6.46,4.0,166.4096,0.9969040247678019
3947,0.71,Ideal,D,SI1,61.4,55.0,3502,5.78,5.82,3.56,119.75697600000001,0.993127147766323
49059,0.7,Very Good,H,SI2,60.7,57.0,2058,5.72,5.75,3.48,114.4572,0.9947826086956522
7310,0.91,Good,H,VVS2,65.5,57.0,4205,6.01,6.11,3.97,145.782767,0.9836333878887069
20048,0.28,Ideal,E,VS1,61.4,56.0,625,4.24,4.2,2.59,46.12272000000001,1.0095238095238095
33745,0.31,Ideal,F,VVS1,61.1,55.0,840,4.38,4.39,2.68,51.531575999999994,0.9977220956719818
8363,1.01,Very Good,E,SI1,61.0,56.0,4399,6.47,6.54,3.97,167.98578600000002,0.9892966360856269
12216,0.9,Very Good,D,VS1,58.9,59.0,5195,6.22,6.31,3.69,144.82585799999998,0.9857369255150555
7568,0.9,Fair,D,SI1,63.8,61.0,4252,6.07,5.99,3.85,139.98330500000003,1.013355592654424
30225,0.33,Premium,E,VS2,61.0,60.0,723,4.43,4.46,2.71,53.543638,0.9932735426008968
51717,0.7,Good,F,SI1,61.6,65.0,2401,5.71,5.66,3.5,113.11510000000001,1.0088339222614842
33460,0.32,Premium,G,VS1,62.8,58.0,828,4.39,4.34,2.74,52.204124,1.0115207373271888
12710,0.26,Ideal,F,VVS1,62.4,56.0,599,4.1,4.11,2.56,43.13856,0.9975669099756689
39609,0.35,Very Good,H,SI1,60.0,61.0,491,4.57,4.6,2.75,57.8105,0.9934782608695654
32582,0.32,Good,E,VS2,58.8,63.0,801,4.48,4.54,2.65,53.898880000000005,0.9867841409691631
14101,1.0,Premium,F,VS2,60.6,59.0,5718,6.5,6.46,3.93,165.0207,1.0061919504643964
3234,0.73,Very Good,E,VS1,62.1,60.0,3353,5.71,5.79,3.57,118.02741299999998,0.9861830742659758
43819,0.51,Ideal,E,SI1,62.3,56.0,1443,5.15,5.12,3.2,84.37760000000002,1.005859375
26953,1.75,Premium,F,VS2,61.4,58.0,17017,7.72,7.76,4.75,284.5592,0.9948453608247423
24634,1.53,Premium,E,SI1,61.3,59.0,12968,7.4,7.35,4.52,245.84279999999998,1.0068027210884354
16681,0.32,Ideal,H,SI2,61.4,56.0,420,4.4,4.43,2.71,52.82332,0.9932279909706547
25783,2.01,Premium,I,SI1,60.1,59.0,14752,8.21,8.15,4.92,329.20458,1.007361963190184
48429,0.7,Very Good,I,SI1,63.8,56.0,1973,5.58,5.62,3.57,111.953772,0.9928825622775801
201,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,112.61376000000001,1.0105263157894737
26072,2.05,Premium,G,SI1,61.6,59.0,15291,8.2,8.16,5.04,337.23648,1.0049019607843137
43815,0.51,Ideal,E,SI1,62.4,55.0,1443,5.14,5.09,3.19,83.458694,1.0098231827111983
41723,0.5,Very Good,D,SI2,63.2,56.0,1243,5.05,5.01,3.18,80.45559,1.0079840319361277
43365,0.52,Ideal,H,VS1,61.4,56.0,1408,5.2,5.23,3.2,87.02720000000001,0.9942638623326959
11886,1.06,Premium,G,SI1,62.2,57.0,5113,6.53,6.47,4.04,170.686364,1.009273570324575
7334,0.9,Very Good,G,VS2,61.0,60.0,4210,6.21,6.24,3.8,147.25152,0.9951923076923076
38269,0.3,Ideal,J,VS2,62.1,56.0,384,4.29,4.34,2.68,49.897848,0.988479262672811
10942,1.01,Very Good,F,SI1,59.7,61.0,4899,6.49,6.55,3.89,165.36195500000002,0.9908396946564886
39722,0.52,Ideal,G,SI2,61.6,55.0,1090,5.16,5.19,3.19,85.42947600000001,0.9942196531791907
52786,0.7,Ideal,G,SI1,61.9,58.0,2567,5.66,5.69,3.51,113.04095400000001,0.9947275922671353
38163,0.34,Ideal,E,VVS1,62.1,57.0,1014,4.46,4.5,2.78,55.794599999999996,0.991111111111111
